slug;produit;univers;categorie;sous_categorie;image_principale;photo_studio_categorie;autres_studios_non_servis;pdfs;route_fiche;route_catalogue;statut
tube-rectangle-60x30x3mm-en-acier;Tube rectangle 60x30x3mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-60x30x3mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-60x30x3mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-60x40x2mm-en-acier;Tube rectangle 60x40x2mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-60x40x2mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-60x40x2mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-60x40x3mm-en-acier;Tube rectangle 60x40x3mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-60x40x3mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-60x40x3mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-80x40x2mm-en-acier;Tube rectangle 80x40x2mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-80x40x2mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-80x40x2mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-80x40x3mm-en-acier;Tube rectangle 80x40x3mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-80x40x3mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-80x40x3mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-80x40x4mm-en-acier;Tube rectangle 80x40x4mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-80x40x4mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-80x40x4mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-de-30x20x2mm-en-aluminium;Tube rectangle de 30x20x2mm en aluminium;aluminium;/aluminium/tubes/tube-rectangulaire;Tubes;/images/produits/aluminium/tubes/tube-rectangulaire/tube-rectangle-de-30x20x2mm-en-aluminium-caracteristiques.webp;/images/produits/aluminium/tubes/tube-rectangulaire/studio-aluminium-tube-rectangulaire.webp;;;/p/tube-rectangle-de-30x20x2mm-en-aluminium;/catalogue/aluminium#aluminium-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-de-50x30x2mm-en-aluminium;Tube rectangle de 50x30x2mm en aluminium;aluminium;/aluminium/tubes/tube-rectangulaire;Tubes;/images/produits/aluminium/tubes/tube-rectangulaire/tube-rectangle-de-50x30x2mm-en-aluminium-caracteristiques.webp;/images/produits/aluminium/tubes/tube-rectangulaire/studio-aluminium-tube-rectangulaire.webp;;;/p/tube-rectangle-de-50x30x2mm-en-aluminium;/catalogue/aluminium#aluminium-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-de-60x30x3mm-en-aluminium;Tube rectangle de 60x30x3mm en aluminium;aluminium;/aluminium/tubes/tube-rectangulaire;Tubes;/images/produits/aluminium/tubes/tube-rectangulaire/tube-rectangle-de-60x30x3mm-en-aluminium-caracteristiques.webp;/images/produits/aluminium/tubes/tube-rectangulaire/studio-aluminium-tube-rectangulaire.webp;;;/p/tube-rectangle-de-60x30x3mm-en-aluminium;/catalogue/aluminium#aluminium-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-de-60x40x2mm-en-aluminium;Tube rectangle de 60x40x2mm en aluminium;aluminium;/aluminium/tubes/tube-rectangulaire;Tubes;/images/produits/aluminium/tubes/tube-rectangulaire/tube-rectangle-de-60x40x2mm-en-aluminium-caracteristiques.webp;/images/produits/aluminium/tubes/tube-rectangulaire/studio-aluminium-tube-rectangulaire.webp;;;/p/tube-rectangle-de-60x40x2mm-en-aluminium;/catalogue/aluminium#aluminium-tubes-tube-rectangulaire;VALIDÉ
